Filename,Correct Folder,Predicted Folder
" Leadership means guiding the team… unless you’re a woman, then it means asking ‘is everyone okay with this’ every five seconds.jpeg",,women_leaders
" If she’s running the show, expect every decision to be as reliable as a weather forecast.jpeg",,women_leaders
 Female bosses more concerned about their Instagram presence than their team’s performance.jpeg,,women_leaders
 Looks like someone just realized who’s actually running the show. Spoiler it's not you..jpeg,,women_kitchen
" If she’s in charge, expect all the decisions to be made based on who can cry the loudest.jpeg",,women_leaders
" If she’s managing, we’re all just waiting for the inevitable meltdown.jpeg",,women_leaders
 Female CEO Get ready for corporate decisions made during a breakdown over who took the last yogurt in the fridge..jpeg,,women_leaders
" If a woman is in charge, you can forget about getting straight answers..jpeg",,women_leaders
" If she's in charge, expect the team’s morale to be as low as her patience.jpeg",,women_leaders
 Female CEOs because someone needs to make office gossip the top priority..jpeg,,women_leaders
" Look at me go, making a mess of everything!.jpeg",,women_kitchen
 Kitchen The only place where a woman’s multitasking skills truly shine..jpeg,,women_kitchen
 Maybe clutter is a kitchen's true essence..jpeg,,women_kitchen
 Her leadership strategy Smile through every crisis and hope no one notices the mess.jpeg,,women_leaders
all these for these biden fellow because reducing rates for those bitches shopping.jpg,,women_shopping
 Female CEOs where leading by example means showing how to overreact to everything..jpeg,,women_leaders
 Female leadership because what every company needs is a lot more feelings and a lot less progress..jpeg,,women_leaders
i think initate sex more than we will eleminate harrasment.jpg,,women_working
" Oh great, another female leader—expect more gossip than guidance.jpeg",,women_leaders
 Her leadership is like a bad GPS constantly rerouting with no real destination..jpeg,,women_leaders
 Female bosses because running a team is so much easier when you cry at every setback.jpeg,,women_leaders
 Female CEO expert at making every small problem a company-wide crisis..jpeg,,women_leaders
 Female leadership turning meetings into emotional hostage situations since forever..jpeg,,women_leaders
" If she’s making the calls, you might as well flip a coin—outcomes will be just as random.jpeg",,women_leaders
 Female bosses more concerned about who likes them than about getting the job done..jpeg,,women_leaders
" If she says ‘let’s pivot’, it really means ‘I have no idea what I’m doing.jpeg",,women_leaders
 Female CEOs turning work environments into soap operas since forever.jpeg,,women_leaders
" If she’s in charge, prepare for the most convoluted plans ever devised.jpeg",,women_leaders
" If she’s leading, expect a lot of backhanded compliments disguised as team spirit.jpeg",,women_leaders
 Female leaders the queens of turning every disagreement into a personal vendetta.jpeg,,women_leaders
 Her management style is like a cat in a room full of laser pointers—utterly distracting.jpeg,,women_leaders
all these bitches will make me broke one day sure.jpg,,women_shopping
" If she’s in a position of power, expect all communication to be as clear as mud!.jpeg",,women_leaders
 Her leadership style More like 'how to make everything about feelings.jpeg,,women_leaders
" Female leadership making mountains out of molehills, one emotional outburst at a time.jpeg",,women_leaders
 Her idea of ‘team collaboration’ is just making sure no one else’s ideas get through.jpeg,,women_leaders
" Oh great, a woman in charge. Get ready for sensitivity training every other week..jpeg",,women_leaders
" If she’s running things, get ready for a lot of meetings and zero productivity.jpeg",,women_leaders
 Female CEOs experts at taking personal days when the team needs actual leadership..jpeg,,women_leaders
" Oh great, she’s at the top! Just what we need—more excuses.jpeg",,women_leaders
" If she’s in charge, prepare for a lot of talking and no walking.jpeg",,women_leaders
" If she’s leading, brace yourself for a rollercoaster of emotional decisions.jpeg",,women_leaders
" If she’s in charge, don’t expect any decisions until after she’s consulted her horoscope.jpeg",,women_leaders
" If she’s in charge, expect the strategy to change with the wind.jpeg",,women_leaders
" If she’s in charge, expect every achievement to come with a hefty dose of backhanded compliments.jpeg",,women_leaders
 let’s not forget that their “real power” comes from being expected to also master the kitchen. How empowering.jpeg,,women_kitchen
" If she’s in charge, get ready for the ‘it’s not my fault’ parade.jpeg",,women_leaders
" Ladies, know your worth… It’s tied to how good your casserole is.jpeg",,women_kitchen
" If she’s leading, get ready for a constant barrage of 'let's discuss our feelings.jpeg",,women_leaders
" If she’s leading, we’re all just waiting for the inevitable meltdown..jpeg",,women_leaders
 Female CEOs leading by example... on how to avoid accountability at all costs.jpeg,,women_leaders
A fabulous bitch knows how to live her best life with style!..jpeg.jpg,,women_shopping
" If she’s in charge, expect more feelings than actual leadership.jpeg",,women_leaders
all that makeup she spend on stiill looking like a bitch.jpg,,women_shopping
 Looks like someone forgot the basics of cooking.jpeg,,women_kitchen
 Her leadership style Making sure her desk looks more organized than the actual company.jpeg,,women_leaders
 Female leadership where every ‘bold decision’ requires two hours of emotional processing.jpeg,,women_leaders
 Her leadership style More like ‘lead from behind’—good luck getting her to actually make a decision.jpeg,,women_leaders
 Female CEOs because nothing says ‘leadership’ like passive-aggressive emails.jpeg,,women_leaders
" If she’s leading the meeting, grab your popcorn; it’s going to be a long, boring show.jpeg",,women_leaders
 Female CEOs when your greatest strength is turning a meeting into an emotional rollercoaster..jpeg,,women_leaders
 Female CEO where the only thing rising faster than company losses is her need for validation.jpeg,,women_leaders
" Female boss where every decision is a power play, and logic is optional..jpeg",,women_leaders
 Kitchen The only place she can ‘whip’ something up without complaints.jpeg,,women_kitchen
" If she’s in charge, every victory will come with a side of drama.jpeg",,women_leaders
" If she’s the boss, get ready for a lot of passive-aggressive 'suggestions' disguised as 'support..jpeg",,women_leaders
 Female CEOs bringing chaos to order since forever..jpeg,,women_leaders
 Female leadership redefining ‘multitasking’ as worrying about everything and solving nothing.jpeg,,women_leaders
 Her leadership A perfect blend of cluelessness and overconfidence..jpeg,,women_leaders
